"name","committeeID","partyCode","totalDonationsIn","committeeCategory","categoryRange","politicalLeaning"
"OPPORTUNITY MATTERS FUND, INC.","C00750182",NULL,43298943,"X-LARGE","$25,000,000 to $49,999,999",NULL
"UNINTIMIDATED PAC INC","C00576108",NULL,42235405,"X-LARGE","$25,000,000 to $49,999,999",NULL
"DGA ACTION","C00503789",NULL,40889648,"X-LARGE","$25,000,000 to $49,999,999",NULL
"PEACHTREE PAC","C00762377",NULL,38000000,"X-LARGE","$25,000,000 to $49,999,999",NULL
"DEFENDARIZONA","C00668301",NULL,37801500,"X-LARGE","$25,000,000 to $49,999,999",NULL
"WORKERS VOTE","C00754051",NULL,37585227,"X-LARGE","$25,000,000 to $49,999,999",NULL
"NEW REPUBLICAN PAC","C00544544",NULL,36094333,"X-LARGE","$25,000,000 to $49,999,999",NULL
"FUTURE45","C00574533",NULL,35002949,"X-LARGE","$25,000,000 to $49,999,999",NULL
"WOMEN SPEAK OUT PAC","C00530766",NULL,34684099,"X-LARGE","$25,000,000 to $49,999,999",NULL
"UNITED DEMOCRACY PROJECT (UDP)","C00799031",NULL,34410565,"X-LARGE","$25,000,000 to $49,999,999",NULL
"FORWARD MAJORITY ACTION","C00631549",NULL,33840878,"X-LARGE","$25,000,000 to $49,999,999",NULL
"COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES","C00488486",NULL,32672218,"X-LARGE","$25,000,000 to $49,999,999",NULL
"FAMILY FRIENDLY ACTION PAC","C00744920",NULL,32085850,"X-LARGE","$25,000,000 to $49,999,999",NULL
"ENVIRONMENT AMERICA ACTION FUND","C00531814",NULL,31886021,"X-LARGE","$25,000,000 to $49,999,999",NULL
"SAVING ARIZONA PAC","C00777185",NULL,31555450,"X-LARGE","$25,000,000 to $49,999,999",NULL
"WISCONSIN TRUTH PAC","C00804104",NULL,30054200,"X-LARGE","$25,000,000 to $49,999,999",NULL
"WITH HONOR FUND, INC.","C00659011",NULL,30009472,"X-LARGE","$25,000,000 to $49,999,999",NULL
"NEED TO IMPEACH","C00658526",NULL,28758299,"X-LARGE","$25,000,000 to $49,999,999",NULL
"LIUNA BUILDING AMERICA","C00568964",NULL,26385542,"X-LARGE","$25,000,000 to $49,999,999",NULL
"REBUILDING AMERICA NOW","C00618876",NULL,25530608,"X-LARGE","$25,000,000 to $49,999,999",NULL
"KEEP THE PROMISE III","C00575423",NULL,24655430,"LARGE","$10,000,000 to $24,999,999",NULL
"GRANITE STATE SOLUTIONS","C00580381",NULL,24440000,"LARGE","$10,000,000 to $24,999,999",NULL
"FREEDOMWORKS FOR AMERICA","C00499020",NULL,24304650,"LARGE","$10,000,000 to $24,999,999",NULL
"AMERICA VOTES ACTION FUND","C00492520",NULL,24207630,"LARGE","$10,000,000 to $24,999,999",NULL
"WINNING OUR FUTURE","C00507525",NULL,23225000,"LARGE","$10,000,000 to $24,999,999",NULL
"PROTECT FREEDOM POLITICAL ACTION COMMITTEE","C00657866",NULL,22977335,"LARGE","$10,000,000 to $24,999,999",NULL
"EDF ACTION VOTES","C00707844",NULL,22816995,"LARGE","$10,000,000 to $24,999,999",NULL
"AMERICAN LEADERSHIP ACTION","C00794891",NULL,22047736,"LARGE","$10,000,000 to $24,999,999",NULL
"OUR AMERICAN CENTURY","C00532630",NULL,21941345,"LARGE","$10,000,000 to $24,999,999",NULL
"GEORGIA UNITED VICTORY","C00750323",NULL,21934000,"LARGE","$10,000,000 to $24,999,999",NULL
"SOMOS PAC","C00724203",NULL,21745650,"LARGE","$10,000,000 to $24,999,999",NULL
"FAIR SHARE ACTION","C00526673",NULL,21508230,"LARGE","$10,000,000 to $24,999,999",NULL
"WIN JUSTICE","C00672394",NULL,21403456,"LARGE","$10,000,000 to $24,999,999",NULL
"NRA VICTORY FUND, INC.","C00741710",NULL,21396196,"LARGE","$10,000,000 to $24,999,999",NULL
"HONOR PENNSYLVANIA, INC.","C00798116",NULL,20622800,"LARGE","$10,000,000 to $24,999,999",NULL
"MAKE AMERICA NUMBER 1","C00575373",NULL,20415963,"LARGE","$10,000,000 to $24,999,999",NULL
"AMERICAN UNITY PAC INC","C00523589",NULL,20306302,"LARGE","$10,000,000 to $24,999,999",NULL
"AMERICA LEADS","C00573055",NULL,20075363,"LARGE","$10,000,000 to $24,999,999",NULL
"SECURITY IS STRENGTH PAC","C00573733",NULL,19597783,"LARGE","$10,000,000 to $24,999,999",NULL
"KEEP THE PROMISE II","C00575431",NULL,18966466,"LARGE","$10,000,000 to $24,999,999",NULL
"OUR PRINCIPLES PAC","C00603621",NULL,18943052,"LARGE","$10,000,000 to $24,999,999",NULL
"OPPORTUNITY AND FREEDOM I","C00580092",NULL,18880000,"LARGE","$10,000,000 to $24,999,999",NULL
"AMERICAS PAC","C00559906",NULL,18865000,"LARGE","$10,000,000 to $24,999,999",NULL
"PACRONYM","C00646877",NULL,17628875,"LARGE","$10,000,000 to $24,999,999",NULL
"STRATEGIC VICTORY FUND IE PAC","C00741769",NULL,17495700,"LARGE","$10,000,000 to $24,999,999",NULL
"USW WORKS","C00556274",NULL,17251004,"LARGE","$10,000,000 to $24,999,999",NULL
"ENGAGE TEXAS","C00701656",NULL,16725000,"LARGE","$10,000,000 to $24,999,999",NULL
"WORKING AMERICA COALITION","C00620583",NULL,16697740,"LARGE","$10,000,000 to $24,999,999",NULL
"NEW DAY FOR AMERICA","C00581868",NULL,16453752,"LARGE","$10,000,000 to $24,999,999",NULL
"JOHN BOLTON SUPER PAC","C00542464",NULL,16447900,"LARGE","$10,000,000 to $24,999,999",NULL
"SCHOOL FREEDOM FUND","C00794396",NULL,16332210,"LARGE","$10,000,000 to $24,999,999",NULL
"DEFENDING MAIN STREET SUPERPAC INC.","C00540203",NULL,15820356,"LARGE","$10,000,000 to $24,999,999",NULL
"CHANGE NOW","C00683599",NULL,15750909,"LARGE","$10,000,000 to $24,999,999",NULL
"COMMUNITY CHANGE VOTERS","C00612820",NULL,15743164,"LARGE","$10,000,000 to $24,999,999",NULL
"HOUSE FREEDOM ACTION","C00662221",NULL,15592534,"LARGE","$10,000,000 to $24,999,999",NULL
"PATIENTS FOR AFFORDABLE DRUGS ACTION","C00680926",NULL,15176816,"LARGE","$10,000,000 to $24,999,999",NULL
"PLAINS PAC","C00750174",NULL,15091725,"LARGE","$10,000,000 to $24,999,999",NULL
"PERSIST PAC","C00739110",NULL,14966935,"LARGE","$10,000,000 to $24,999,999",NULL
"NATIONAL NURSES UNITED FOR PATIENT PROTECTION","C00490375",NULL,13988398,"LARGE","$10,000,000 to $24,999,999",NULL
"UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION WORKING FAMILIES ADVOCACY PROJECT","C00484253",NULL,13696287,"LARGE","$10,000,000 to $24,999,999",NULL
"THE SENTINEL ACTION FUND","C00811166",NULL,13657294,"LARGE","$10,000,000 to $24,999,999",NULL
"KEEP KENTUCKY GREAT","C00742494",NULL,13575556,"LARGE","$10,000,000 to $24,999,999",NULL
"GEORGIA HONOR","C00763193",NULL,13457000,"LARGE","$10,000,000 to $24,999,999",NULL
"RAGA ACTION FUND","C00560904",NULL,13354350,"LARGE","$10,000,000 to $24,999,999",NULL
"REPUBLICAN ACCOUNTABILITY PAC","C00804856",NULL,12990000,"LARGE","$10,000,000 to $24,999,999",NULL
"BETTER FUTURE MI FUND","C00725317",NULL,12693800,"LARGE","$10,000,000 to $24,999,999",NULL
"DUTY AND COUNTRY","C00666388",NULL,12665000,"LARGE","$10,000,000 to $24,999,999",NULL
"EARN INTERNATIONAL UNION OF OPERATING ENGINEERS","C00624817",NULL,12485970,"LARGE","$10,000,000 to $24,999,999",NULL
"A STRONGER OHIO","C00672675",NULL,12193640,"LARGE","$10,000,000 to $24,999,999",NULL
"RJC VICTORY FUND","C00528554",NULL,12032700,"LARGE","$10,000,000 to $24,999,999",NULL
"IN UNION USA","C00745745",NULL,11699182,"LARGE","$10,000,000 to $24,999,999",NULL
"STAND FOR TRUTH, INC.","C00592337",NULL,11536521,"LARGE","$10,000,000 to $24,999,999",NULL
"1820 PAC","C00698126",NULL,11467500,"LARGE","$10,000,000 to $24,999,999",NULL
"UAW EDUCATION FUND","C00528448",NULL,11406000,"LARGE","$10,000,000 to $24,999,999",NULL
"CONSERVATIVE, AUTHENTIC, RESPONSIVE LEADERSHIP FOR YOU AND FOR AMERICA","C00573154",NULL,11290385,"LARGE","$10,000,000 to $24,999,999",NULL
"KSL, INC.","C00543256",NULL,11094043,"LARGE","$10,000,000 to $24,999,999",NULL
"LABORERS* INTERNATIONAL UNION OF NORTH AMERICA POLITICAL FUND","C00752048",NULL,10990991,"LARGE","$10,000,000 to $24,999,999",NULL
"THE GEORGIA WAY","C00763185",NULL,10795000,"LARGE","$10,000,000 to $24,999,999",NULL
"NUESTRO PAC","C00744185",NULL,10526710,"LARGE","$10,000,000 to $24,999,999",NULL
"PUT ALASKA FIRST","C00544346",NULL,10510364,"LARGE","$10,000,000 to $24,999,999",NULL
"AMERICAN POLICY FUND","C00749085",NULL,10501000,"LARGE","$10,000,000 to $24,999,999",NULL
"SENATE CONSERVATIVES ACTION","C00524181",NULL,10428433,"LARGE","$10,000,000 to $24,999,999",NULL
"LIFT LEADING ILLINOIS FOR TOMORROW","C00625525",NULL,10370499,"LARGE","$10,000,000 to $24,999,999",NULL
"THE VOICES OF THE AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES","C00512293",NULL,10218586,"LARGE","$10,000,000 to $24,999,999",NULL
"WFP IE COMMITTEE","C00626861",NULL,10144862,"LARGE","$10,000,000 to $24,999,999",NULL
"CONSERVATIVE AMERICANS PAC","C00820308",NULL,10090000,"LARGE","$10,000,000 to $24,999,999",NULL
"PROGRESS PINELLAS","C00792333",NULL,10073872,"LARGE","$10,000,000 to $24,999,999",NULL
"GEORGIA ACTION FUND","C00693606",NULL,9929046,"MEDIUM","$1,000,000 to $9,999,999",NULL
"UNITE HERE PAC","C00627372",NULL,9808355,"MEDIUM","$1,000,000 to $9,999,999",NULL
"FIGHTING FOR OHIO FUND","C00573014",NULL,9791000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICAN PRINCIPLES PROJECT PAC","C00544387",NULL,9759807,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICAN-DNA PAC, INC.","C00799122",NULL,9650000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICANS FOR PROGRESSIVE ACTION USA","C00741348",NULL,9609850,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CLEARPATH ACTION FUND, INC.","C00608943",NULL,9538119,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CLIMATE POWER ACTION","C00817536",NULL,9511038,"MEDIUM","$1,000,000 to $9,999,999",NULL
"FORWARD MAJORITY ACTION","C00631556",NULL,9503500,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CITIZENS FOR FREE ENTERPRISE","C00749671",NULL,9419374,"MEDIUM","$1,000,000 to $9,999,999",NULL
"GMI PAC, INC.","C00788679",NULL,9348466,"MEDIUM","$1,000,000 to $9,999,999",NULL
"REPUBLICAN VOTERS AGAINST FAILED LEADERSHIP","C00751420",NULL,9268729,"MEDIUM","$1,000,000 to $9,999,999",NULL
"COOPERATIVE OF AMERICAN PHYSICIANS INDEPENDENT EXPENDITURE COMMITTEE","C00492116",NULL,9234239,"MEDIUM","$1,000,000 to $9,999,999",NULL
"REFORM AMERICA FUND","C00581934",NULL,9097340,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CENTER FORWARD COMMITTEE","C00568444",NULL,9044716,"MEDIUM","$1,000,000 to $9,999,999",NULL
"FLORIDA FREEDOM PAC","C00521013",NULL,8873866,"MEDIUM","$1,000,000 to $9,999,999",NULL
"NOW OR NEVER PAC","C00513432",NULL,8822800,"MEDIUM","$1,000,000 to $9,999,999",NULL
"NEW AMERICAN JOBS FUND","C00625533",NULL,8680000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MAKE AMERICA GREAT AGAIN, AGAIN! INC.","C00790477",NULL,8550294,"MEDIUM","$1,000,000 to $9,999,999",NULL
"SAVE AMERICA FUND","C00732172",NULL,8475826,"MEDIUM","$1,000,000 to $9,999,999",NULL
"FLORIDA FIRST PROJECT","C00620476",NULL,8393600,"MEDIUM","$1,000,000 to $9,999,999",NULL
"VOTE NURSES VALUES POLITICAL ACTION COMMITTEE: CALIFORNIA NURSES ASSOCIATION","C00731372",NULL,8350000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"TRUSTED LEADERSHIP PAC","C00609511",NULL,8308902,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MAKE AMERICA GREAT AGAIN ACTION INC","C00771477",NULL,8286199,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICA*S FAMILIES FIRST ACTION FUND","C00487744",NULL,8174000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"34N22, INC.","C00789339",NULL,8057095,"MEDIUM","$1,000,000 to $9,999,999",NULL
"SHOW ME VALUES PAC","C00816991",NULL,8050000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICAN PATRIOTS PAC","C00668905",NULL,8021350,"MEDIUM","$1,000,000 to $9,999,999",NULL
"SAVE MISSOURI VALUES","C00776385",NULL,7857100,"MEDIUM","$1,000,000 to $9,999,999",NULL
"PATRIOT MAJORITY PAC","C00469890",NULL,7726000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ARIZONA GRASSROOTS ACTION PAC","C00558445",NULL,7713000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"WORKER POWER PAC","C00756569",NULL,7495995,"MEDIUM","$1,000,000 to $9,999,999",NULL
"SHIELD PAC","C00770149",NULL,7485640,"MEDIUM","$1,000,000 to $9,999,999",NULL
"INTEGRITY NJ","C00671099",NULL,7425000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"SIERRA CLUB INDEPENDENT ACTION","C00483693",NULL,7296348,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CONSERVATIVE OUTSIDER PAC INC","C00748475",NULL,7173902,"MEDIUM","$1,000,000 to $9,999,999",NULL
"COALITION FOR PROGRESS","C00582841",NULL,7139282,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ALABAMA*S FUTURE","C00791202",NULL,7100000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"NORTH STAR","C00760330",NULL,7100000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"EVERGREEN PRINCIPLES PAC","C00819664",NULL,6909610,"MEDIUM","$1,000,000 to $9,999,999",NULL
"TEA PARTY PATRIOTS CITIZENS FUND","C00540898",NULL,6840452,"MEDIUM","$1,000,000 to $9,999,999",NULL
"WHITE MOUNTAIN PAC","C00823989",NULL,6800000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"OHIO REALTORS POLITICAL ADVOCACY FUND (ORPAF)","C00627737",NULL,6775055,"MEDIUM","$1,000,000 to $9,999,999",NULL
"EIGHTEEN FIFTY-FOUR FUND","C00809483",NULL,6615000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"FUND FOR LOUISIANA*S FUTURE; THE","C00541037",NULL,6513147,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICA*S LIBERTY PAC","C00532572",NULL,6493211,"MEDIUM","$1,000,000 to $9,999,999",NULL
"TEXAS CONSERVATIVES FUND","C00510941",NULL,6335000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"YG ACTION FUND","C00504761",NULL,6299000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CRYPTO FREEDOM PAC","C00816892",NULL,6201400,"MEDIUM","$1,000,000 to $9,999,999",NULL
"KENTUCKY FREEDOM PAC","C00772020",NULL,6198019,"MEDIUM","$1,000,000 to $9,999,999",NULL
"TEXANS ARE","C00654301",NULL,6196200,"MEDIUM","$1,000,000 to $9,999,999",NULL
"NATIONAL RIGHT TO LIFE VICTORY FUND","C00509893",NULL,6103496,"MEDIUM","$1,000,000 to $9,999,999",NULL
"NEW PROSPERITY FOUNDATION; THE","C00488494",NULL,6050845,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MISSOURI STANDS UNITED","C00815316",NULL,6000000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"USA FREEDOM FUND","C00745208",NULL,5825650,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ONE FOR ALL COMMITTEE","C00752691",NULL,5802399,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICA*S PROGRESSIVE PROMISE PAC","C00744789",NULL,5765000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"FAITH AND POWER PAC","C00736751",NULL,5670000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"PUT UTAH FIRST PAC","C00792259",NULL,5651300,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MAKE US GREAT AGAIN, INC","C00499731",NULL,5567174,"MEDIUM","$1,000,000 to $9,999,999",NULL
"WIN MINNESOTA FEDERAL PAC","C00540450",NULL,5516910,"MEDIUM","$1,000,000 to $9,999,999",NULL
"WISCONSIN NEXT PAC","C00656728",NULL,5505000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"HUMAN RIGHTS CAMPAIGN EQUALITY VOTES","C00508440",NULL,5495946,"MEDIUM","$1,000,000 to $9,999,999",NULL
"NRDC ACTION VOTES","C00740225",NULL,5484472,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICAN LIBERTY ACTION PAC","C00821652",NULL,5425000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ALABAMA CHRISTIAN CONSERVATIVES","C00782656",NULL,5360000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"TRUTH AND COURAGE PAC","C00796045",NULL,5356845,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MORNING IN AMERICA PAC","C00562595",NULL,5331000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"INDEPENDENCE VIRGINIA PAC","C00515155",NULL,5160000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"HEARTLAND RESURGENCE","C00544551",NULL,5148169,"MEDIUM","$1,000,000 to $9,999,999",NULL
"NEXTGEN CALIFORNIA ACTION COMMITTEE","C00615815",NULL,5146402,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CASA IN ACTION PAC","C00685693",NULL,5123162,"MEDIUM","$1,000,000 to $9,999,999",NULL
"HOMETOWN FREEDOM ACTION NETWORK","C00528901",NULL,5101500,"MEDIUM","$1,000,000 to $9,999,999",NULL
"OPPORTUNITY MATTERS FUND ACTION","C00825158",NULL,5100000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MAYDAY PAC","C00562587",NULL,5044301,"MEDIUM","$1,000,000 to $9,999,999",NULL
"DEFEND US PAC","C00634261",NULL,5043400,"MEDIUM","$1,000,000 to $9,999,999",NULL
"RESULTS FOR NC, INC.","C00545152",NULL,4994900,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MIND THE GAP","C00683649",NULL,4923500,"MEDIUM","$1,000,000 to $9,999,999",NULL
"NATIONAL HORIZON","C00519363",NULL,4923398,"MEDIUM","$1,000,000 to $9,999,999",NULL
"SECURING OHIO*S FUTURE ACTION FUND, INC.","C00679951",NULL,4900126,"MEDIUM","$1,000,000 to $9,999,999",NULL
"PURSUING AMERICA*S GREATNESS","C00573923",NULL,4887000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"LEGISLATIVE MAJORITY PAC","C00627075",NULL,4842147,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ALLIANCE FOR A BETTER RHODE ISLAND","C00569343",NULL,4800000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ALABAMA PATRIOTS PAC","C00795948",NULL,4795168,"MEDIUM","$1,000,000 to $9,999,999",NULL
"VIRGINIA PLUS PAC","C00697755",NULL,4701000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ALASKANS FOR L.I.S.A. (LEADERSHIP IN A STRONG ALASKA)","C00793869",NULL,4585000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"RSLC PAC","C00779595",NULL,4575500,"MEDIUM","$1,000,000 to $9,999,999",NULL
"VALUES ARE VITAL","C00552422",NULL,4546979,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MONTANA HUNTERS AND ANGLERS LEADERSHIP FUND","C00493262",NULL,4499750,"MEDIUM","$1,000,000 to $9,999,999",NULL
"SOLUTIONS FOR WISCONSIN","C00636084",NULL,4411032,"MEDIUM","$1,000,000 to $9,999,999",NULL
"KEEP THE PROMISE PAC","C00575415",NULL,4407178,"MEDIUM","$1,000,000 to $9,999,999",NULL
"NO LABELS ACTION, INC.","C00680983",NULL,4406700,"MEDIUM","$1,000,000 to $9,999,999",NULL
"LG PAC","C00617340",NULL,4395000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"HIGHWAY 31","C00659896",NULL,4354000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"COMMITTEE TO ELECT AN INDEPENDENT SENATE","C00569228",NULL,4296667,"MEDIUM","$1,000,000 to $9,999,999",NULL
"TERM LIMITS ACTION","C00688580",NULL,4285000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"BELIEVE AGAIN","C00571711",NULL,4280478,"MEDIUM","$1,000,000 to $9,999,999",NULL
"FAIR COURTS AMERICA","C00805283",NULL,4272000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"COMMITTEE TO BUILD THE ECONOMY","C00679316",NULL,4132879,"MEDIUM","$1,000,000 to $9,999,999",NULL
"PROGRESSIVE KICK INDEPENDENT EXPENDITURES","C00492595",NULL,4057340,"MEDIUM","$1,000,000 to $9,999,999",NULL
"OHIOANS FOR JUSTICE AND INTEGRITY","C00758193",NULL,4047906,"MEDIUM","$1,000,000 to $9,999,999",NULL
"WORKING FOR US POLITICAL ACTION COMMITTEE INC","C00430876",NULL,3976754,"MEDIUM","$1,000,000 to $9,999,999",NULL
"FLORIDIANS FOR A STRONG MIDDLE CLASS","C00577049",NULL,3956610,"MEDIUM","$1,000,000 to $9,999,999",NULL
"COMMITTEE FOR WORKING FAMILIES, SPONSORED BY LABOR ORGANIZATIONS","C00626119",NULL,3900629,"MEDIUM","$1,000,000 to $9,999,999",NULL
"PURPLE PAC INC","C00544569",NULL,3890000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ALABAMA CONSERVATIVES FUND","C00786152",NULL,3870000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"OHIO LEADS","C00788851",NULL,3854000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"AMERICARISINGPAC.ORG","C00542902",NULL,3852572,"MEDIUM","$1,000,000 to $9,999,999",NULL
"FREEDOM PAC","C00517417",NULL,3800000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MARYLAND USA","C00581777",NULL,3800000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"ENDORSE LIBERTY, INC","C00508002",NULL,3792463,"MEDIUM","$1,000,000 to $9,999,999",NULL
"SAVE AMERICA FROM ITS GOVERNMENT","C00625574",NULL,3731603,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CITIZENS FOR A STRONG AMERICA INC","C00636977",NULL,3710000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"PLANNED PARENTHOOD OF MINNESOTA POLITICAL ACTION FUND","C00684530",NULL,3679690,"MEDIUM","$1,000,000 to $9,999,999",NULL
"CFG ACTION MONTANA","C00669242",NULL,3652024,"MEDIUM","$1,000,000 to $9,999,999",NULL
"THE MAINE WAY PAC","C00701821",NULL,3590000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"PENNSYLVANIA CONSERVATIVE FUND","C00802793",NULL,3550000,"MEDIUM","$1,000,000 to $9,999,999",NULL
"MVP JUSTICE FUND","C00752543",NULL,3540545,"MEDIUM","$1,000,000 to $9,999,999",NULL
"FUND FOR A WORKING CONGRESS","C00637041",NULL,3533100,"MEDIUM","$1,000,000 to $9,999,999",NULL
"STRONG LEADERS FUND","C00812685",NULL,3500000,"MEDIUM","$1,000,000 to $9,999,999",NULL
